name,state,county_seat
ABBEVILLE,SC,
ACADIA,LA,
ACCOMACK,VA,
ADA,ID,
ADAIR,MO,
ADAIR,OK,
ADAIR,IA,
ADAIR,KY,
ADAMS,PA,
ADAMS,OH,
ADAMS,NE,
ADAMS,CO,
ADAMS,IL,
ADAMS,WI,
ADAMS,IN,
ADAMS,WA,
ADAMS,ND,
ADAMS,MS,
ADAMS,IA,
ADAMS,ID,
ADDISON,VT,
AIKEN,SC,
AITKIN,MN,
ALACHUA,FL,
ALAMANCE,NC,
ALAMEDA,CA,
ALAMOSA,CO,
ALBANY,NY,
ALBANY,WY,
ALBEMARLE,VA,
ALCONA,MI,
ALCORN,MS,
ALEUTIANS EAST,AK,
ALEUTIANS WEST,AK,
ALEXANDER,NC,
ALEXANDER,IL,
ALEXANDRIA CITY,VA,
ALFALFA,OK,
ALGER,MI,
ALLAMAKEE,IA,
ALLEGAN,MI,
ALLEGANY,MD,
ALLEGANY,NY,
ALLEGHANY,NC,
ALLEGHANY,VA,
ALLEGHENY,PA,
ALLEN,KS,
ALLEN,OH,
ALLEN,IN,
ALLEN,KY,
ALLEN,LA,
ALLENDALE,SC,
ALPENA,MI,
ALPINE,CA,
AMADOR,CA,
AMELIA,VA,
AMHERST,VA,
AMITE,MS,
ANCHORAGE,AK,
ANDERSON,TX,
ANDERSON,TN,
ANDERSON,KS,
ANDERSON,KY,
ANDERSON,SC,
ANDREW,MO,
ANDREWS,TX,
ANDROSCOGGIN,ME,
ANGELINA,TX,
ANNE ARUNDEL,MD,
ANOKA,MN,
ANSON,NC,
ANTELOPE,NE,
ANTRIM,MI,
APACHE,AZ,
APPANOOSE,IA,
APPLING,GA,
APPOMATTOX,VA,
ARANSAS,TX,
ARAPAHOE,CO,
ARCHER,TX,
ARCHULETA,CO,
ARENAC,MI,
ARKANSAS,AR,
ARLINGTON,VA,
ARMSTRONG,TX,
ARMSTRONG,PA,
AROOSTOOK,ME,
ARTHUR,NE,
ASCENSION,LA,
ASHE,NC,
ASHLAND,OH,
ASHLAND,WI,
ASHLEY,AR,
ASHTABULA,OH,
ASOTIN,WA,
ASSUMPTION,LA,
ATASCOSA,TX,
ATCHISON,KS,
ATCHISON,MO,
ATHENS,OH,
ATKINSON,GA,
ATLANTIC,NJ,
ATOKA,OK,
ATTALA,MS,
AUDRAIN,MO,
AUDUBON,IA,
AUGLAIZE,OH,
AUGUSTA,VA,
AURORA,SD,
AUSTIN,TX,
AUTAUGA,AL,
AVERY,NC,
AVOYELLES,LA,
BACA,CO,
BACON,GA,
BAILEY,TX,
BAKER,OR,
BAKER,GA,
BAKER,FL,
BALDWIN,AL,
BALDWIN,GA,
BALLARD,KY,
BALTIMORE,MD,
BALTIMORE CITY,MD,
BAMBERG,SC,
BANDERA,TX,
BANKS,GA,
BANNER,NE,
BANNOCK,ID,
BARAGA,MI,
BARBER,KS,
BARBOUR,WV,
BARBOUR,AL,
BARNES,ND,
BARNSTABLE,MA,
BARNWELL,SC,
BARREN,KY,
BARRON,WI,
BARROW,GA,
BARRY,MI,
BARRY,MO,
BARTHOLOMEW,IN,
BARTON,KS,
BARTON,MO,
BARTOW,GA,
BASTROP,TX,
BATES,MO,
BATH,KY,
BATH,VA,
BAXTER,AR,
BAY,MI,
BAY,FL,
BAYFIELD,WI,
BAYLOR,TX,
BEADLE,SD,
BEAR LAKE,ID,
BEAUFORT,NC,
BEAUFORT,SC,
BEAUREGARD,LA,
BEAVER,UT,
BEAVER,PA,
BEAVER,OK,
BEAVERHEAD,MT,
BECKER,MN,
BECKHAM,OK,
BEDFORD,TN,
BEDFORD,PA,
BEDFORD,VA,
BEDFORD CITY,VA,
BEE,TX,
BELKNAP,NH,
BELL,TX,
BELL,KY,
BELMONT,OH,
BELTRAMI,MN,
BEN HILL,GA,
BENEWAH,ID,
BENNETT,SD,
BENNINGTON,VT,
BENSON,ND,
BENT,CO,
BENTON,OR,
BENTON,AR,
BENTON,TN,
BENTON,MN,
BENTON,IN,
BENTON,WA,
BENTON,MS,
BENTON,MO,
BENTON,IA,
BENZIE,MI,
BERGEN,NJ,
BERKELEY,WV,
BERKELEY,SC,
BERKS,PA,
BERKSHIRE,MA,
BERNALILLO,NM,
BERRIEN,GA,
BERRIEN,MI,
BERTIE,NC,
BETHEL,AK,
BEXAR,TX,
BIBB,AL,
BIBB,GA,
BIENVILLE,LA,
BIG HORN,MT,
BIG HORN,WY,
BIG STONE,MN,
BILLINGS,ND,
BINGHAM,ID,
BLACK HAWK,IA,
BLACKFORD,IN,
BLADEN,NC,
BLAINE,MT,
BLAINE,NE,
BLAINE,OK,
BLAINE,ID,
BLAIR,PA,
BLANCO,TX,
BLAND,VA,
BLECKLEY,GA,
BLEDSOE,TN,
BLOUNT,AL,
BLOUNT,TN,
BLUE EARTH,MN,
BOISE,ID,
BOLIVAR,MS,
BOLLINGER,MO,
BON HOMME,SD,
BOND,IL,
BONNER,ID,
BONNEVILLE,ID,
BOONE,WV,
BOONE,AR,
BOONE,NE,
BOONE,IL,
BOONE,IN,
BOONE,MO,
BOONE,IA,
BOONE,KY,
BORDEN,TX,
BOSQUE,TX,
BOSSIER,LA,
BOTETOURT,VA,
BOTTINEAU,ND,
BOULDER,CO,
BOUNDARY,ID,
BOURBON,KS,
BOURBON,KY,
BOWIE,TX,
BOWMAN,ND,
BOX BUTTE,NE,
BOX ELDER,UT,
BOYD,NE,
BOYD,KY,
BOYLE,KY,
BRACKEN,KY,
BRADFORD,FL,
BRADFORD,PA,
BRADLEY,AR,
BRADLEY,TN,
BRANCH,MI,
BRANTLEY,GA,
BRAXTON,WV,
BRAZORIA,TX,
BRAZOS,TX,
BREATHITT,KY,
BRECKINRIDGE,KY,
BREMER,IA,
BREVARD,FL,
BREWSTER,TX,
BRISCOE,TX,
BRISTOL,RI,
BRISTOL,MA,
BRISTOL,VA,
BRISTOL BAY,AK,
BROADWATER,MT,
BRONX,NY,
BROOKE,WV,
BROOKINGS,SD,
BROOKS,GA,
BROOKS,TX,
BROOME,NY,
BROWARD,FL,
BROWN,SD,
BROWN,TX,
BROWN,KS,
BROWN,MN,
BROWN,OH,
BROWN,NE,
BROWN,IL,
BROWN,WI,
BROWN,IN,
BRULE,SD,
BRUNSWICK,NC,
BRUNSWICK,VA,
BRYAN,GA,
BRYAN,OK,
BUCHANAN,MO,
BUCHANAN,IA,
BUCHANAN,VA,
BUCKINGHAM,VA,
BUCKS,PA,
BUENA VISTA,IA,
BUENA VISTA CITY,VA,
BUFFALO,SD,
BUFFALO,NE,
BUFFALO,WI,
BULLITT,KY,
BULLOCH,GA,
BULLOCK,AL,
BUNCOMBE,NC,
BUREAU,IL,
BURKE,GA,
BURKE,NC,
BURKE,ND,
BURLEIGH,ND,
BURLESON,TX,
BURLINGTON,NJ,
BURNET,TX,
BURNETT,WI,
BURT,NE,
BUTLER,AL,
BUTLER,KS,
BUTLER,PA,
BUTLER,OH,
BUTLER,NE,
BUTLER,MO,
BUTLER,IA,
BUTLER,KY,
BUTTE,SD,
BUTTE,CA,
BUTTE,ID,
BUTTS,GA,
CABARRUS,NC,
CABELL,WV,
CACHE,UT,
CADDO,OK,
CADDO,LA,
CALAVERAS,CA,
CALCASIEU,LA,
CALDWELL,TX,
CALDWELL,NC,
CALDWELL,MO,
CALDWELL,KY,
CALDWELL,LA,
CALEDONIA,VT,
CALHOUN,WV,
CALHOUN,AL,
CALHOUN,AR,
CALHOUN,GA,
CALHOUN,TX,
CALHOUN,MI,
CALHOUN,FL,
CALHOUN,IL,
CALHOUN,MS,
CALHOUN,IA,
CALHOUN,SC,
CALLAHAN,TX,
CALLAWAY,MO,
CALLOWAY,KY,
CALUMET,WI,
CALVERT,MD,
CAMAS,ID,
CAMBRIA,PA,
CAMDEN,NJ,
CAMDEN,GA,
CAMDEN,NC,
CAMDEN,MO,
CAMERON,TX,
CAMERON,PA,
CAMERON,LA,
